1   :   | - | | - | | - | 
2   :   | 1 | | - | | - | 
3   :   | 2 | | 1 | | - | 
4   :   | 3 | | 2 | | 1 | 
1   :   | 4 | | 2 | | 1 | NO Page fault
2   :   | 4 | | 2 | | 1 | NO Page fault
5   :   | 4 | | 2 | | 1 | 
1   :   | 5 | | 2 | | 1 | NO Page fault
2   :   | 5 | | 2 | | 1 | NO Page fault
3   :   | 5 | | 2 | | 1 | 
4   :   | 5 | | 2 | | 3 | 
5   :   | 5 | | 2 | | 4 | NO Page fault
0   :   | 5 | | 2 | | 4 | NO Page fault

